state	population	gdp
Alabama	4822023	157272
Alaska	731449	44732
Arizona	6553255	230641
Arkansas	2949131	93892
California	38041430	1751002
Colorado	5187582	239884
Connecticut	3590347	197202
Delaware	917092	56110
District_of_Columbia	632323	92106
Florida	19317568	672287
Georgia	9919945	374000
Hawaii	1392313	61877
Idaho	1595728	50976
Illinois	12875255	594201
Indiana	6537334	255380
Iowa	3074186	129799
Kansas	2885905	118523
Kentucky	4380415	146829
Louisiana	4601893	198548
Maine	1329192	45986
Maryland	5884563	274930
Massachusetts	6646144	353717
Michigan	9883360	348867
Minnesota	5379139	252971
Mississippi	2984926	86396
Missouri	6021988	221702
Montana	1005141	33374
Nebraska	1855525	83393
Nevada	2758931	113197
New Hampshire	1320718	56735
New Jersey	8864590	438173
New Mexico	2085538	70699
New York	19570261	1038541
North_Carolina	9752073	392905
North_Dakota	699628	38654
Ohio	11544225	435104
Oklahoma	3814820	138296
Oregon	3899353	187440
Pennsylvania	12763536	511345
Rhode_Island	1050292	43774
South_Carolina	4723723	150596
South_Dakota	833354	35985
Tennessee	6456243	240523
Texas	26059203	1211692
Utah	2855287	111808
Vermont	626011	23912
Virginia	8185867	385772
Washington	6897012	325165
West_Virginia	1855413	56384
Wisconsin	5726398	225094
Wyoming	576412	31302
